item,status,evidence
evidence manifest exists,ready,preproc_v0/repetition_familiarity/results/final_tables/publication_evidence_manifest.md
main evidence map row count,ready,16 rows
audit artifact row count,ready,15 rows
required reviewer claims covered,ready,12 required claims present
required evidence artifacts mentioned,ready,19 required artifacts mentioned
referenced evidence artifacts exist,ready,31 referenced artifact paths exist
double-blind warning present,ready,public GitHub metadata warning present
external-validation caveat present,ready,external-validation limitation is explicit
adjacency non-claim present,ready,adjacency limitation is explicit
fold_07 caveat present,ready,fold_07 limitation is explicit
