item,status,evidence
split accounting table,ready,split_accounting.csv: 8 rows
within-subject smoke table,ready,table_within_subject.csv: 6 rows
main all-fold final table,ready,"table_allfold_final.csv: 3 rows, support n=72, expected at least 24"
hard-negative all-fold table,ready,"table_hard_negative_allfold.csv: 3 rows, support n=72, expected at least 24"
held-out-image table,ready,"table_heldout_image.csv: 4 rows, support n=96, expected at least 24"
component baseline table,ready,"table_phase2_sota_graph_baselines.csv: 5 rows, support n=104, expected at least 100"
graph-only CLIP ablation table,ready,"table_graph_only.csv: 2 rows, support n=48, expected at least 48"
adjacency ablation table,ready,table_adjacency_ablation.csv: 3 rows
ROI-token control table,ready,table_roi_token_controls.csv: 5 rows
static adjacency perturbation table,ready,table_adjacency_perturbation.csv: 5 rows
edge-bias follow-up table,ready,table_edge_bias_followup.csv: 3 rows
session/order pair QC,ready,session_order_pair_qc.csv: 4 rows
fold difficulty QC,ready,fold_difficulty_qc.csv: 8 rows
single-reference eval-existing summary,ready,"single_ref_matched_summary.csv: 3 rows, support n=72, expected at least 72"
single-reference retrained summary,ready,"single_ref_matched_allseed_summary.csv: 3 rows, support n=72, expected at least 72"
low-shot calibration table,ready,"table_lowshot_calibration.csv: 5 rows, support n=120, expected at least 120"
external visual-ROI smoke table,ready,"table_external_visual_roi_smoke.csv: 8 rows, support n=150, expected at least 100"
gate confound table,ready,table_gate_confound.csv: 3 rows
matched deletion table,ready,table_matched_deletion.csv: 6 rows
single-reference eval-existing LaTeX rows,ready,single_ref_matched_latex.txt: 5 lines
single-reference retrained LaTeX rows,ready,single_ref_matched_allseed_latex.txt: 5 lines
paired stats: main_allfold / Gated ReGraph/BNT+CLIP - ROI-MLP+CLIP,ready,publication_paired_stats.csv: 7 paired metric rows
paired stats: hard_negative / Gated ReGraph/BNT+CLIP - ROI-MLP+CLIP,ready,publication_paired_stats.csv: 7 paired metric rows
paired stats: heldout_real_vs_random_available_raw / Gated ReGraph/BNT+CLIP - Gated random embedding,ready,publication_paired_stats.csv: 7 paired metric rows
paired stats: component_baselines / MindLink-style subject-adversarial ROI-MLP,ready,publication_paired_stats.csv: 7 paired metric rows
paired stats: single_ref_retrained / No-adj gated ROI Transformer+CLIP - ROI-MLP+CLIP,ready,publication_paired_stats.csv: 7 paired metric rows
AAAI ROI-token story summary,ready,aaai_roi_token_story_summary.md: 11 lines
external visual-ROI smoke summary,ready,external_visual_roi_all4_summary.md: 18 lines
LAION trial-wise external validation summary,ready,laion_fmri_visual_roi_summary.md: 19 lines
LAION trial-wise external validation LaTeX rows,ready,laion_fmri_visual_roi_latex.txt: 4 lines
