item,status,evidence
split_accounting.csv,ready,8 rows cite existing reports/neurips_report/may30.tex: Table tab:split_accounting
session_order_pair_qc.csv,ready,4 rows cite existing reports/neurips_report/may30.tex: Table tab:session_order_pair_qc
table_within_subject.csv,ready,6 rows cite existing reports/neurips_report/may30.tex: Table tab:within_subject
table_allfold_final.csv,ready,3 rows cite existing reports/neurips_report/may30.tex: Table tab:cross_subject_main
table_phase2_sota_graph_baselines.csv,ready,5 rows cite existing reports/neurips_report/may30.tex: Table tab:sota_baselines
table_graph_only.csv,ready,2 rows cite existing reports/neurips_report/may30.tex: Table tab:graph_only
table_adjacency_ablation.csv,ready,3 rows cite existing reports/neurips_report/may30.tex: Table tab:adjacency_ablation
table_roi_token_controls.csv,ready,5 rows cite existing reports/neurips_report/may30.tex: Table tab:roi_token_controls
table_adjacency_perturbation.csv,ready,5 rows cite existing reports/neurips_report/may30.tex: Table tab:adjacency_perturbation
table_edge_bias_followup.csv,ready,3 rows cite existing reports/neurips_report/may30.tex: Table tab:edge_bias_followup
single_ref_matched_summary.csv,ready,3 rows cite existing reports/neurips_report/may30.tex: Table tab:single_ref_matched
single_ref_matched_allseed_summary.csv,ready,3 rows cite existing reports/neurips_report/may30.tex: Table tab:single_ref_retrained
table_heldout_image.csv,ready,4 rows cite existing reports/neurips_report/may30.tex: Table tab:heldout
table_hard_negative_allfold.csv,ready,3 rows cite existing reports/neurips_report/may30.tex: Table tab:hardneg
table_lowshot_calibration.csv,ready,5 rows cite existing reports/neurips_report/may30.tex: Table tab:lowshot
table_external_visual_roi_smoke.csv,ready,8 rows cite existing reports/neurips_report/may30.tex: Table tab:external_visual_roi_smoke
table_gate_confound.csv,ready,3 rows cite existing reports/neurips_report/may30.tex: Table tab:gate_confound
table_matched_deletion.csv,ready,6 rows cite existing reports/neurips_report/may30.tex: Table tab:matched_deletion
fold_difficulty_qc.csv,ready,8 rows cite existing reports/neurips_report/may30.tex: Table tab:fold_difficulty
model_parameter_counts.csv,ready,5 rows cite existing reports/neurips_report/may30.tex: Table tab:implementation_details
aaai_publication_readiness_audit.csv,ready,33/33 minimum generated-audit rows ready
bundle_allowlist_audit.csv,ready,13/13 minimum generated-audit rows ready
citation_integrity_audit.csv,ready,11/11 minimum generated-audit rows ready
ci_workflow_audit.csv,ready,10/10 minimum generated-audit rows ready
dataset_accounting_audit.csv,ready,13/13 minimum generated-audit rows ready
external_data_policy_audit.csv,ready,6/6 minimum generated-audit rows ready
figure_asset_audit.csv,ready,9/9 minimum generated-audit rows ready
makefile_targets_audit.csv,ready,9/9 minimum generated-audit rows ready
manuscript_publication_claims_audit.csv,ready,55/55 minimum generated-audit rows ready
publication_docs_audit.csv,ready,50/50 minimum generated-audit rows ready
publication_evidence_manifest_audit.csv,ready,10/10 minimum generated-audit rows ready
package_metadata_audit.csv,ready,11/11 minimum generated-audit rows ready
python_syntax_audit.csv,ready,4/4 minimum generated-audit rows ready
result_artifact_schema_audit.csv,ready,26/26 minimum generated-audit rows ready
result_value_range_audit.csv,ready,26/26 minimum generated-audit rows ready
reviewer_response_readiness_audit.csv,ready,11/11 minimum generated-audit rows ready
table_uncertainty_language_audit.csv,ready,25/25 minimum generated-audit rows ready
manuscript_table_values_audit.csv,ready,24/24 minimum generated-audit rows ready
manuscript_stat_claims_audit.csv,ready,22/22 minimum generated-audit rows ready
